source_cluster_id,target_cluster_id,relation_type,description,source_trigger,source_summary,target_trigger,target_summary,confidence_score,explanation,evidence_type,source_trigger_arguments,target_trigger_arguments,source_trigger_time,target_trigger_time,source_agent,target_agent,source_location,target_location,source_lat,source_lon,target_lat,target_lon
198,6406,causes,,imposed tariffs,US President Donald Trump imposed tariffs on China and has considered similar measures against Taiwanese semiconductors.,impose a 10 per cent tariff on Chinese goods,Donald Trump announced plans to impose a 10% tariff on Chinese goods to pressure Beijing to reduce the flow of Chinese-made chemicals contributing to the opioid crisis in the US.,0.7117452621459961,Event 'imposed tariffs' causes Event 'impose a 10 per cent tariff on Chinese goods' via COMET: 'US imposes tariffs on Chinese',comet_causes,"{'agent': 'Trump administration', 'object': 'Chinese imports', 'location': 'United States', 'time': '2018 and 2019', 'counterpart': 'Chinese government', 'impact_summary': 'The tariffs were meant to protect US intellectual property and technology from misappropriation.', 'cause': 'Section 301 investigation findings'}",,2018 and 2019,,Trump administration,,United States,,39.7837304,-100.445882,,
198,19490,causes,,imposed tariffs,US President Donald Trump imposed tariffs on China and has considered similar measures against Taiwanese semiconductors.,US tariff hikes on Chinese imports,"The United States imposed significant tariff increases on various Chinese imports, raising trade tensions between the two nations.",0.732860028743743,Event 'imposed tariffs' causes Event 'US tariff hikes on Chinese imports' via COMET: 'US imposes tariffs on Chinese',comet_causes,"{'agent': 'Trump administration', 'object': 'Chinese imports', 'location': 'United States', 'time': '2018 and 2019', 'counterpart': 'Chinese government', 'impact_summary': 'The tariffs were meant to protect US intellectual property and technology from misappropriation.', 'cause': 'Section 301 investigation findings'}",,2018 and 2019,,Trump administration,,United States,,39.7837304,-100.445882,,
198,20011,causes,,imposed tariffs,US President Donald Trump imposed tariffs on China and has considered similar measures against Taiwanese semiconductors.,Beijing has vowed retaliation,China has pledged to retaliate against the new US tariffs imposed on Chinese goods.,0.710739910602569,Event 'imposed tariffs' causes Event 'Beijing has vowed retaliation' via COMET: 'US imposes tariffs on Chinese',comet_causes,"{'agent': 'Trump administration', 'object': 'Chinese imports', 'location': 'United States', 'time': '2018 and 2019', 'counterpart': 'Chinese government', 'impact_summary': 'The tariffs were meant to protect US intellectual property and technology from misappropriation.', 'cause': 'Section 301 investigation findings'}",,2018 and 2019,,Trump administration,,United States,,39.7837304,-100.445882,,
240,24264,happens_before,,blaming Chinese pressure,"Taiwan has accused China of exerting pressure on South Africa, causing the demand for the embassy's relocation.",frequent military operations,"Chinese military operations around Taiwan present a serious threat, causing tension in the region.",0.71608543395996,Event 'blaming Chinese pressure' happens_before Event 'frequent military operations' via COMET: 'is being threatened by the Chinese',comet_happens_before,,"{'agent': 'Chinese military', 'object': 'military operations', 'location': 'Taiwan Strait', 'time': 'Ongoing since four years', 'counterpart': None, 'impact_summary': 'Heightened military tension around Taiwan', 'cause': ""China's attempts to assert sovereignty claims""}",,Ongoing since four years,,Chinese military,,Taiwan Strait,,,24.49173883966648,119.60540174291498
272,85,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",sweeping tariffs on goods,"US President Donald Trump ordered sweeping tariffs on goods from Mexico, Canada, and China to control illegal immigration and fentanyl flow into the US.",0.7364487648010251,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'sweeping tariffs on goods' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,"{'agent': 'Donald Trump', 'object': 'goods from Mexico, Canada, China', 'location': 'United States', 'time': '2025-02-01', 'counterpart': 'Mexico, Canada, China', 'impact_summary': 'Initiated a trade conflict that could impact global growth and inflation.', 'cause': 'To curb immigration and fentanyl trafficking.'}",,2025-02-01,,Donald Trump,,United States,,,39.7837304,-100.445882
272,94,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",Trump's tariffs on Chinese imports,"During his first presidency, Trump imposed tariffs on Chinese imports, impacting global trade dynamics.",0.7867915630340571,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'Trump's tariffs on Chinese imports' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,,,,,,,,,,,
272,198,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",imposed tariffs,US President Donald Trump imposed tariffs on China and has considered similar measures against Taiwanese semiconductors.,0.7813953757286071,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'imposed tariffs' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,"{'agent': 'Trump administration', 'object': 'Chinese imports', 'location': 'United States', 'time': '2018 and 2019', 'counterpart': 'Chinese government', 'impact_summary': 'The tariffs were meant to protect US intellectual property and technology from misappropriation.', 'cause': 'Section 301 investigation findings'}",,2018 and 2019,,Trump administration,,United States,,,39.7837304,-100.445882
272,1188,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",would rather not impose tariffs,"President Trump indicated a tentative stance on imposing tariffs on China, despite prior threats.",0.8131866455078121,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'would rather not impose tariffs' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,"{'agent': 'President Donald Trump', 'object': 'tariffs', 'location': 'International', 'time': '2025-01-23', 'counterpart': 'China', 'impact_summary': 'Potential economic implications affect U.S.-China trade relations.', 'cause': 'Ongoing trade tension with China'}",,2025-01-23,,President Donald Trump,,International,,,50.109345950000005,14.393264664529315
272,1193,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",10 per cent tariffs on all Chinese imports,President Trump mentioned that a 10% tariff on all Chinese imports could commence on February 1 as a strategic leverage against China.,0.792856693267822,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event '10 per cent tariffs on all Chinese imports' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,,,,,,,,,,,
272,1283,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",discussing a 10 per cent punitive duty,The Trump administration was considering a 10% punitive duty on Chinese imports related to their participation in the global fentanyl supply chain.,0.7069786787033081,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'discussing a 10 per cent punitive duty' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,"{'agent': 'Trump administration', 'object': 'Chinese imports', 'location': 'United States', 'time': '2025-01-21', 'counterpart': 'China', 'impact_summary': 'Potential to strain trade relations further and impact global trade dynamics.', 'cause': ""China's role in the global fentanyl supply chain""}",,2025-01-21,,Trump administration,,United States,,,39.7837304,-100.445882
272,1396,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",tariff threat,"US President Donald Trump threatened to impose a 10 percent duty on Chinese imports, with a potential deadline set for February 1st.",0.7968309521675111,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'tariff threat' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,"{'agent': 'Donald Trump', 'object': 'Chinese imports', 'location': 'United States', 'time': '2024-11-28', 'counterpart': 'China', 'impact_summary': 'The move could lead to another trade war between the US and China, affecting global economic stability.', 'cause': ""Trump's economic strategy""}",,2024-11-28,,Donald Trump,,United States,,,39.7837304,-100.445882
272,3788,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",raise tariffs by as much as 20 per cent,"US President-elect Donald Trump plans to increase tariffs by 20% on all trading partners, significantly affecting global trade dynamics.",0.7587708234786981,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'raise tariffs by as much as 20 per cent' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,"{'agent': 'US President-elect Donald Trump', 'object': 'tariffs', 'location': 'United States', 'time': '2025-01-20', 'counterpart': 'Trading Partners, including China', 'impact_summary': 'The increased tariffs could elevate global import prices, diminish demand, and impact GDP growth for countries like Singapore.', 'cause': ""Trump's economic policy focused on protectionism.""}",,2025-01-20,,US President-elect Donald Trump,,United States,,,39.7837304,-100.445882
272,5089,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",impose an additional 10 per cent tariff,"President-elect Donald Trump announced plans to impose an additional 10% tariff on Chinese goods, contingent on Beijing's efforts to curb fentanyl trafficking.",0.8208179473876951,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'impose an additional 10 per cent tariff' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,"{'agent': 'President-elect Donald Trump', 'object': 'imported Chinese goods', 'location': 'United States', 'time': '2024-11-26', 'counterpart': 'China', 'impact_summary': 'Potentially sets off a new phase of trade tensions between the US and China, impacting global trade dynamics.', 'cause': 'China not doing enough to control fentanyl flow into the US'}",,2024-11-26,,President-elect Donald Trump,,United States,,,39.7837304,-100.445882
272,5442,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",threaten even more harsh trade tariffs,"US President-elect Donald Trump threatened to impose more severe trade tariffs, affecting market dynamics and international trade relations.",0.8396997451782221,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'threaten even more harsh trade tariffs' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,"{'agent': 'Donald Trump', 'object': 'trade tariffs', 'location': 'United States', 'time': '2024-12-01', 'counterpart': None, 'impact_summary': 'Potentially escalates trade tensions and impacts global markets and economic growth.', 'cause': ""Trump's policy agenda and 'America First' stance""}",,2024-12-01,,Donald Trump,,United States,,,39.7837304,-100.445882
272,6083,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",threatened to impose a 100 per cent tariff,President-elect Donald Trump threatened to impose a 100% tariff on Brics countries if they undercut the US dollar.,0.7789263725280761,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'threatened to impose a 100 per cent tariff' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,"{'agent': 'Donald Trump', 'object': 'tariff on Brics countries', 'location': 'United States', 'time': '2024-11-30', 'counterpart': 'Brics countries', 'impact_summary': ""The threat aims to deter the Brics countries from undermining the US dollar's dominance."", 'cause': ""Trump's protectionist agenda and concerns over Brics non-dollar transactions""}",,2024-11-30,,Donald Trump,,United States,,,39.7837304,-100.445882
272,6396,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",threatened to apply a tariff of 25 per cent,President Trump threatened to impose a 25% tariff on Mexican imports to address immigration and drug trafficking issues.,0.7470372915267941,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'threatened to apply a tariff of 25 per cent' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,"{'agent': 'Donald Trump', 'object': 'Mexican imports', 'location': 'United States', 'time': '2025', 'counterpart': 'Mexico', 'impact_summary': 'Potential trade tension risks undermining the US-Mexico-Canada Free Trade Agreement (USMCA).', 'cause': 'Concerns over immigration and drug trafficking.'}",,2025,,Donald Trump,,United States,,,39.7837304,-100.445882
272,6406,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",impose a 10 per cent tariff on Chinese goods,Donald Trump announced plans to impose a 10% tariff on Chinese goods to pressure Beijing to reduce the flow of Chinese-made chemicals contributing to the opioid crisis in the US.,0.7932712435722351,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'impose a 10 per cent tariff on Chinese goods' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,,,,,,,,,,,
272,6624,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",25 per cent tariff on all products from Mexico and Canada,Donald Trump pledged a 25 per cent tariff on all products from Mexico and Canada due to immigration and drug trade concerns.,0.7242353558540341,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event '25 per cent tariff on all products from Mexico and Canada' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,,,,,,,,,,,
272,7259,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",Trump has promised to impose sweeping tariffs,President-elect Donald Trump's promise to impose tariffs could impact supply chains and air cargo demand.,0.703591048717498,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'Trump has promised to impose sweeping tariffs' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,,,,,,,,,,,
272,7977,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",campaign to boycott China,"US President-elect Donald Trump led a campaign to boycott Chinese goods, reflecting a shift in US trade policy.",0.75277042388916,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'campaign to boycott China' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,,,,,,,,,,,
272,8822,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",trade war since 2018,"The ongoing trade war between the US and China has escalated under Trump's policies, further affecting Asian nations.",0.736691236495971,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'trade war since 2018' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,"{'agent': 'United States; China', 'object': 'Trade relations', 'location': 'Global', 'time': '2018-Present', 'counterpart': 'Asian markets', 'impact_summary': 'Trade tensions affect global markets with increased uncertainty.', 'cause': 'Escalation of tariffs and nationalistic policies'}",,2018-Present,,United States; China,,Global,,,55.702215,12.5592485
272,8824,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",Trump's 'America First' policy,"Donald Trump plans to implement the 'America First' policy involving significant tariffs on imports, affecting global trade dynamics in Asia.",0.7052868604660031,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'Trump's 'America First' policy' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,,,,,,,,,,,
272,9571,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",tariff hikes,"Former President Trump plans massive tariff hikes which could trigger a trade war, impacting China-centric manufacturing networks in Asia.",0.7873237729072571,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'tariff hikes' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,"{'agent': 'President Joe Biden', 'object': 'tariffs on Chinese-made electric vehicles', 'location': 'United States', 'time': '2024-05-14', 'counterpart': 'China', 'impact_summary': 'The tariff increase is aimed at preventing China from unfairly controlling the electric vehicle market in the United States and safeguarding US jobs.', 'cause': 'Unfair trade practices by China'}",,2024-05-14,,President Joe Biden,,United States,,,39.7837304,-100.445882
272,12270,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",impose punishing tariffs,Donald Trump reiterated his pledge to impose severe tariffs on China as a strategy to bolster US manufacturing.,0.8438230752944941,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'impose punishing tariffs' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,"{'agent': 'Donald Trump', 'object': 'China trade policy', 'location': 'United States', 'time': None, 'counterpart': 'China', 'impact_summary': 'The policy aims to prioritize US manufacturing but risks escalating trade tensions with China.', 'cause': ""Trump's economic strategy to favor domestic manufacturing""}",,,,Donald Trump,,United States,,,39.7837304,-100.445882
272,25674,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",prospect of a trade war,The potential return of Trump raises the specter of a full-fledged trade war with China.,0.7725533246994011,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'prospect of a trade war' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,"{'agent': 'Trump Administration', 'object': 'US-China Trade Relations', 'location': 'United States/China', 'time': None, 'counterpart': 'China', 'impact_summary': 'A trade war could strain bilateral relationships and impact global markets.', 'cause': ""Trump's unpredictable foreign policy stance""}",,,,Trump Administration,,United States/China,,,30.047992,-94.3357433
272,32461,happens_before,,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",started a trade war with China,"In 2018, President Donald Trump initiated a trade war with China, impacting global supply chains and trade patterns.",0.782855510711669,Event 'threatened to slap a 60 per cent flat fee on Chinese goods' happens_before Event 'started a trade war with China' via COMET: 'President-elect Trump threatened to impose a huge tariff on China.',comet_happens_before,,,,,,,,,,,,
336,179,causes,,vows of retaliation,"Mexico, Canada, and China threatened to retaliate against the tariffs imposed by the United States.",retaliate against US tariffs,Canada and Mexico have announced that they will retaliate against US tariffs imposed by President Donald Trump.,0.782996833324432,Event 'vows of retaliation' causes Event 'retaliate against US tariffs' via COMET: 'Mexico will retaliate against the tariffs.',comet_causes,"{'agent': 'Mexico, Canada, China', 'object': 'retaliation', 'location': None, 'time': '2025-02-01', 'counterpart': 'United States', 'impact_summary': 'The threatened retaliation raises the potential for a trade war, exacerbating global economic instability.', 'cause': ""Trump's imposition of tariffs on key trading partners""}",,2025-02-01,,"Mexico, Canada, China",,,,,,,
336,6089,causes,,vows of retaliation,"Mexico, Canada, and China threatened to retaliate against the tariffs imposed by the United States.",Mexico's warning on tariff consequences,"Mexico President Claudia Sheinbaum warned the potential consequences of Trump's tariff plan, suggesting possible retaliation.",0.7207841873168941,Event 'vows of retaliation' causes Event 'Mexico's warning on tariff consequences' via COMET: 'Mexico will retaliate against the tariffs.',comet_causes,"{'agent': 'Mexico, Canada, China', 'object': 'retaliation', 'location': None, 'time': '2025-02-01', 'counterpart': 'United States', 'impact_summary': 'The threatened retaliation raises the potential for a trade war, exacerbating global economic instability.', 'cause': ""Trump's imposition of tariffs on key trading partners""}",,2025-02-01,,"Mexico, Canada, China",,,,,,,
336,8822,happens_before,,vows of retaliation,"Mexico, Canada, and China threatened to retaliate against the tariffs imposed by the United States.",trade war since 2018,"The ongoing trade war between the US and China has escalated under Trump's policies, further affecting Asian nations.",0.75014728307724,Event 'vows of retaliation' happens_before Event 'trade war since 2018' via COMET: 'Mexico and China are facing a trade war',comet_happens_before,"{'agent': 'Mexico, Canada, China', 'object': 'retaliation', 'location': None, 'time': '2025-02-01', 'counterpart': 'United States', 'impact_summary': 'The threatened retaliation raises the potential for a trade war, exacerbating global economic instability.', 'cause': ""Trump's imposition of tariffs on key trading partners""}","{'agent': 'United States; China', 'object': 'Trade relations', 'location': 'Global', 'time': '2018-Present', 'counterpart': 'Asian markets', 'impact_summary': 'Trade tensions affect global markets with increased uncertainty.', 'cause': 'Escalation of tariffs and nationalistic policies'}",2025-02-01,2018-Present,"Mexico, Canada, China",United States; China,,Global,,,55.702215,12.5592485
336,25674,happens_before,,vows of retaliation,"Mexico, Canada, and China threatened to retaliate against the tariffs imposed by the United States.",prospect of a trade war,The potential return of Trump raises the specter of a full-fledged trade war with China.,0.7070482969284051,Event 'vows of retaliation' happens_before Event 'prospect of a trade war' via COMET: 'Mexico and China are facing a trade war',comet_happens_before,"{'agent': 'Mexico, Canada, China', 'object': 'retaliation', 'location': None, 'time': '2025-02-01', 'counterpart': 'United States', 'impact_summary': 'The threatened retaliation raises the potential for a trade war, exacerbating global economic instability.', 'cause': ""Trump's imposition of tariffs on key trading partners""}","{'agent': 'Trump Administration', 'object': 'US-China Trade Relations', 'location': 'United States/China', 'time': None, 'counterpart': 'China', 'impact_summary': 'A trade war could strain bilateral relationships and impact global markets.', 'cause': ""Trump's unpredictable foreign policy stance""}",2025-02-01,,"Mexico, Canada, China",Trump Administration,,United States/China,,,30.047992,-94.3357433
1040,1165,happens_before,,fierce crackdown on illegal immigration,"President Donald Trump announced a crackdown on illegal immigration, raising concerns among nations like India about mass deportations.",deportation operation underway,"President Donald Trump commenced a mass deportation operation, resulting in the arrest of hundreds of migrants and deportation of many on military aircraft.",0.8660497665405271,Event 'fierce crackdown on illegal immigration' happens_before Event 'deportation operation underway' via COMET: 'President Trump has ordered mass deportation',comet_happens_before,"{'agent': 'President Donald Trump', 'object': 'illegal immigration', 'location': 'United States', 'time': '2025-01-20', 'counterpart': 'India', 'impact_summary': 'Concerns about mass deportations and potential political and economic impacts globally.', 'cause': ""President Trump's immigration policy""}","{'agent': 'Trump Administration', 'object': 'migrants', 'location': 'United States', 'time': '2025-01-24', 'counterpart': 'White House', 'impact_summary': 'This operation heralds the largest mass deportation in history and fulfills campaign promises.', 'cause': ""Trump's immigration policy and executive actions""}",2025-01-20,2025-01-24,President Donald Trump,Trump Administration,United States,United States,39.7837304,-100.445882,39.7837304,-100.445882
1049,22601,happens_before,,Trump demands lower rates,"President Trump demanded that the Federal Reserve immediately reduce interest rates, expressing dissatisfaction with their current policy direction.",signals from the U.S. Federal Reserve on a possible start to rate cuts,"The U.S. Federal Reserve indicated a potential reduction in interest rates, contributing to a rise in global oil prices.",0.7047988176345821,Event 'Trump demands lower rates' happens_before Event 'signals from the U.S. Federal Reserve on a possible start to rate cuts' via COMET: 'President Trump tells the Federal Reserve to reduce interest rates',comet_happens_before,,,,,,,,,,,,
1165,1040,happens_before,,deportation operation underway,"President Donald Trump commenced a mass deportation operation, resulting in the arrest of hundreds of migrants and deportation of many on military aircraft.",fierce crackdown on illegal immigration,"President Donald Trump announced a crackdown on illegal immigration, raising concerns among nations like India about mass deportations.",0.7572246789932251,Event 'deportation operation underway' happens_before Event 'fierce crackdown on illegal immigration' via COMET: 'President Trump orders mass deportation',comet_happens_before,"{'agent': 'Trump Administration', 'object': 'migrants', 'location': 'United States', 'time': '2025-01-24', 'counterpart': 'White House', 'impact_summary': 'This operation heralds the largest mass deportation in history and fulfills campaign promises.', 'cause': ""Trump's immigration policy and executive actions""}","{'agent': 'President Donald Trump', 'object': 'illegal immigration', 'location': 'United States', 'time': '2025-01-20', 'counterpart': 'India', 'impact_summary': 'Concerns about mass deportations and potential political and economic impacts globally.', 'cause': ""President Trump's immigration policy""}",2025-01-24,2025-01-20,Trump Administration,President Donald Trump,United States,United States,39.7837304,-100.445882,39.7837304,-100.445882
1165,1167,happens_before,,deportation operation underway,"President Donald Trump commenced a mass deportation operation, resulting in the arrest of hundreds of migrants and deportation of many on military aircraft.",national emergency at the southern border,President Trump signed an executive order declaring a national emergency at the southern border and announced troop deployments.,0.75774198770523,Event 'deportation operation underway' happens_before Event 'national emergency at the southern border' via COMET: 'President Trump declares a national emergency',comet_happens_before,"{'agent': 'Trump Administration', 'object': 'migrants', 'location': 'United States', 'time': '2025-01-24', 'counterpart': 'White House', 'impact_summary': 'This operation heralds the largest mass deportation in history and fulfills campaign promises.', 'cause': ""Trump's immigration policy and executive actions""}","{'agent': 'President Donald Trump', 'object': 'southern border', 'location': 'United States', 'time': '2025-01-20', 'counterpart': 'ICE', 'impact_summary': 'Escalated U.S. border control measures with increased military presence.', 'cause': 'Perceived crisis at the southern border'}",2025-01-24,2025-01-20,Trump Administration,President Donald Trump,United States,United States,39.7837304,-100.445882,39.7837304,-100.445882
1193,198,happens_before,,10 per cent tariffs on all Chinese imports,President Trump mentioned that a 10% tariff on all Chinese imports could commence on February 1 as a strategic leverage against China.,imposed tariffs,US President Donald Trump imposed tariffs on China and has considered similar measures against Taiwanese semiconductors.,0.717342853546142,Event '10 per cent tariffs on all Chinese imports' happens_before Event 'imposed tariffs' via COMET: 'President Trump has threatened to start a trade war with China',comet_happens_before,,"{'agent': 'Trump administration', 'object': 'Chinese imports', 'location': 'United States', 'time': '2018 and 2019', 'counterpart': 'Chinese government', 'impact_summary': 'The tariffs were meant to protect US intellectual property and technology from misappropriation.', 'cause': 'Section 301 investigation findings'}",,2018 and 2019,,Trump administration,,United States,,,39.7837304,-100.445882
1193,272,happens_before,,10 per cent tariffs on all Chinese imports,President Trump mentioned that a 10% tariff on all Chinese imports could commence on February 1 as a strategic leverage against China.,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",0.8847877979278561,Event '10 per cent tariffs on all Chinese imports' happens_before Event 'threatened to slap a 60 per cent flat fee on Chinese goods' via COMET: 'President Trump has threatened to start a trade war with China',comet_happens_before,,,,,,,,,,,,
1193,1188,happens_before,,10 per cent tariffs on all Chinese imports,President Trump mentioned that a 10% tariff on all Chinese imports could commence on February 1 as a strategic leverage against China.,would rather not impose tariffs,"President Trump indicated a tentative stance on imposing tariffs on China, despite prior threats.",0.7539010047912591,Event '10 per cent tariffs on all Chinese imports' happens_before Event 'would rather not impose tariffs' via COMET: 'President Trump has threatened to start a trade war with China',comet_happens_before,,"{'agent': 'President Donald Trump', 'object': 'tariffs', 'location': 'International', 'time': '2025-01-23', 'counterpart': 'China', 'impact_summary': 'Potential economic implications affect U.S.-China trade relations.', 'cause': 'Ongoing trade tension with China'}",,2025-01-23,,President Donald Trump,,International,,,50.109345950000005,14.393264664529315
1193,1396,happens_before,,10 per cent tariffs on all Chinese imports,President Trump mentioned that a 10% tariff on all Chinese imports could commence on February 1 as a strategic leverage against China.,tariff threat,"US President Donald Trump threatened to impose a 10 percent duty on Chinese imports, with a potential deadline set for February 1st.",0.73593670129776,Event '10 per cent tariffs on all Chinese imports' happens_before Event 'tariff threat' via COMET: 'President Trump has threatened to start a trade war with China',comet_happens_before,,"{'agent': 'Donald Trump', 'object': 'Chinese imports', 'location': 'United States', 'time': '2024-11-28', 'counterpart': 'China', 'impact_summary': 'The move could lead to another trade war between the US and China, affecting global economic stability.', 'cause': ""Trump's economic strategy""}",,2024-11-28,,Donald Trump,,United States,,,39.7837304,-100.445882
